week,sentence,sentiment
488,돼지고기만으로 국내산 판별은 물론 수입육의 원산지까지 정확히 파악할 수 있는 기술이 국내에서 개발됐다,positive
488,특허를 획득했다,positive
488,농림축산식품부 농림수산식품기술기획평가원의 연구과제로 지난 2015년부터 20,neutral
489,국내도 비상이 걸렸다,negative
489,하남성 도축장에서 지난 14일 260두 중 30두 폐사가 확인되어 ,negative
490,김영철)에서는 무선 초음파 임신 진단기 신형 SV2,neutral
491,양돈장 냄새저감을 위한 고민은 미국도 다를바 없다,negative
491,최근엔 냄새저감 방법으로 고압전기펜스,neutral
492,순환감염이 이뤄지고 ,negative
492,에서다.이번 조사의 주관연구기관인 강원대학교 박선일 교수에 따르면 PRRS 바이러스에 대해 각 조사 대상 양돈장을 연령별,neutral
493,법원이 제주도 양돈농가들의 악취관리지역 지정 집행정지 가처분 요구를 받아들이지 않았다,negative
493,제주양돈농가들은 즉각 항소 입장을 밝혔다,negative
493,제기한 악취관리지역 지정 집행,neutral
494,산업의 미래상이 제시된다,positive
494,  정부를 포함한 범 양돈업계 공동의 노력을 경주하기 위한 비전을 곧 마련,positive
495,국내 유입은 오염된 육류의 농장반입이 원인으로 작용할 가능성이 상대적으로 높다는 분석이다,negative
495,현실적으로 기대하기 어려운 상황,negative
495,  농장주의 각별한 관심과 주의를 당부하고 ,negative
495,심양의 경우 음식물에 의한,neutral
496,수입산 모두증가했다,neutral
496,가량 줄었다,neutral
496,가량 감소한 때문이다,neutral
497,선물세트가 어떨까,neutral
497,돌입했다.,neutral
497,전개되고 있는 이번 캠페인은 한돈의 프리미엄 이미지를 높이고,positive
498,기록적 폭염으로 양돈농가들이 삼중고(三重苦)에 시달리고 ,negative
498,더위로 인한 폐사 피해,negative
498,열대야일수는 일로 역대 가장 더웠던 지난 94년의 기록을 경신할 것으로 전망되고 ,negative
498,이 같은 기록적 폭염은 양돈업에 이중 삼중의 고충을 안기고 ,negative
498,두드러지는 피해는 더위로 인한 폐사,negative
498,돼지 폐사두수는 2만1천420마리에 달하고 ,negative
499,아프리카돼지열병 예방 비상 행동수칙’을 발령했다,negative
499,발표한 비상 행동수칙의 주요내용은 아프리카돼지열병의 국내유입 방지를 위해 양,neutral
500,어느 새 청년이 됐다,neutral
501,관리 강화를 긴급히 환경당국에 요청했다,neutral
501,전파 위험성을 최소화 하기 위한 것이다,neutral
501,이상 가열해야 한다,neutral
502,냄새민원의 가능성이 상대적으로 높을 수밖에 없는 것은 부인할 수 없는 현실,negative
502,민원의 대상이 되는 ‘누명,negative
502,인근 비점오염원의 냄새농도가 더 높은 것을 확인했다,negative
502,방법을 통해 민원인 소재지를 중심으로,neutral
503,국내 양돈업계의 위기감이 극에 달하고 ,negative
503,전파력도 강한 반면 백신이나 뚜렷한 예방대책이 없는데다 조기진단이 어려운  양돈현장에선 혼란스러울 수 밖에 없는 상황,negative
503,그렇다면 ASF 유입 차단을 위해,neutral
504,두서 꼼짝달싹하지 못하고 ,negative
504,농가 기준 총 모돈수 81만4천여두에 대한 생산성,neutral
505,넘어섰다,neutral
505,한돈협회가 추진 중인 한돈혁신센터는 모돈 300두 규모의 일관사육농,neutral
506,중국 내 아프리카돼지열병,negative
506,세계 양돈시장에 미칠 여파가 주목되고 ,neutral
506,저장성 원저우시에서 잇달아 ASF 발생이 확인됐다,neutral
506,광범위하게 확산된 것 아니냐는 우려가,negative
507,밑으로 줄었다,neutral
507,지난해 7월 이후 1년만이다,neutral
507,최근 농림축산식품부에 따르면 7월 양돈사료량은 49만톤으로 전달 51만5천톤에,neutral
508,유행에 대비한 사전 실태파악이 이뤄진다,neutral
508,농림축산검역본부는 지난 27일부터,neutral
509,축산관련 각종 불합리한 세제개선,neutral
509,세제 개선 노력이 다시 본격화된다,neutral
509,전 축산업계와 공조를 강화키로 했다,neutral
509,정부와 국회를 통한 개선을 추진한다는 방침이다,neutral
509,도축세 규모는 한해 400억∼500억원에 달했다,neutral
509,축산농가가 많은 지역의 경우 지방 재정에 적지 않게 도움이 돼 왔다,positive
509,그러나 도축세 폐지를 계기로 축산업의 지방 재,neutral
510,전국의 양돈농가와 시민들이 한자리에서 어울린다,neutral
510,국민과 함께 하는,neutral
511,사태가 전세계 돈육시장의 수급과 가격에 큰 변수로 작용할 것이란 전망이 나왔다,neutral
511,돼지가격이 약세를 보여왔다,negative
511,정부 차원의 전폭적인 양돈업,positive
512,발생과 확산추세에 따라 비상에 걸린 국내 양돈업계,negative
512,노력에 협조를 요청하고 ,neutral
512,  중국에 진출한,neutral
513,국경검역 추진상황을 점검하고 ,neutral
513,국가 검역에 비상이 걸렸다,negative
513,농림축산식품부는 지난 24일 중국을 여행한 여행객,neutral
514,올해 음식점에서 소비되는 돼지고기가 줄고 ,negative
514,대상으로 농축산물 소비 실태를 조사한 결과 음식점들의 2분기 돼지고기,neutral
515,폭염이 농가들의 생산성을 저하시키고 ,negative
515,생산 성적을 분석한 결과 모돈당 산자수는,neutral
516,돼지 폐사두수는 2만6천마리로 기록됐다,negative
516,지난,neutral
517,올해도 후보돈 입식이 증가하면서 ,neutral
517,작년 동기간 10만1천841두보다 ,neutral
517,이는 농가,neutral
518,단일시설로는 국내 최대규모의 종합식육가공시설이 탄생했다,positive
518,도드람양돈조합(조합장 이영규)은 지난달 29일,neutral
519,용량을 키운 돼지열병,neutral
519,기존 10두분과 대용량 제품,neutral
520,확산과 함께 국내 유입가능성이 더욱 커지고 ,negative
520,강화돼야 한다는 목소리가 높아지고 ,neutral
520,지난해 수입된 중국산 부산물은 돼지 장,neutral
520,우리나라와 중국정부가 체결한 검역조건을 충족한 제품들이다,neutral
520,경우 현지에서 염장처리 과정을 거쳐야 하며,neutral
521,내년 상반기로 이어지는 돼지가격 하락 우려에 따라 양돈업계가 소비촉진 활성화에 집중키로 했다,negative
521,그리고 남북한 정세 추이에 따라 추진여부,neutral
522,근무자가 진공포장을 위해 정육제품을 폴리에틸렌,neutral
522,도드람양돈조합의 도드람김제FMC가 준공과 함께 본격 가동에 돌입했다,neutral
522,외부 이동없이 원스톱으로 처리할 수 있는 최첨단시설을 구축하고 ,positive
522,포함해 하루 6천두의 도축능력을 확보,neutral
522,시장 지배력도 대폭 확대될 전망이다,neutral
522,특히 덴마크와 독일 등 축산물 가공 선진지 기술을 벤치,neutral
523,밖에 답이 없다는 분석이다,negative
523,가격 안정 대책 등에 대해 논의했다,neutral
523,가격 안정을 위해 논의된 대책은 ,positive
524,자조금관리위원회 정상은 사무국장 등이 참여했다,neutral
524,민관이 힘을 합쳐 대국민,neutral
525,출하 감소에도 돼지 값은 하락했다,negative
525,지난해 동월 134만마리에 비해,neutral
526,올해 폭염으로 인한 진짜 피해는 내년 상반기에 나타날 것이란 진단이 나왔다,negative
526,돼지 폐사가 지난해보다 크게 증가,negative
527,내년은 황금돼지해다,neutral
527,돼지가격은 올해보다 더 떨어질 것이란 전망이 나왔다,negative
527,최근 내놓은 돈가 전망보고서를 통해 내년도 돼지 평균가,neutral
528,농가만족도가 크게 떨어진 것으로 나타났다,negative
528,전국양돈장 질병실태조사 과정에서 드러났다,neutral
528,이번 조사를 맡은 강원대학교 수의과대,neutral
529,  양돈업계가 촉각을 곤두세우고 ,neutral
529,환경부가 변경을 검토하고 있는 수질 기준은 물속 유기물이 포함하고 ,neutral
530,발걸음이 더 바빠졌다,neutral
530,잇따르는 각 지역축제장을 찾아 한,neutral
531,국가에 급파했다,neutral
531,정책 강화 방침에 적극 대응하기 위한 것,positive
532,올들어 후보돈 입식증가세가 주춤한 것으로 나타났다,negative
532,후보돈 입식 추이를 짐작해 볼수 있는 번식용씨돼지 이동두수는  올들어 ,neutral
532,이는 F1 10만3,neutral
533,국내 수입 돼지고기 시장이 중국 아프리카돼지열병,negative
533,발생 영향으로 국내서 수입 냉동 돈육에 가수요가 발생하고 ,neutral
534,파문이 일고 ,negative
534,축산환경종합개선 대책안에 양돈장의 악취저감시설을 의무화 하는 방안을 포함시켰다,neutral
534,그러면서 ,neutral
535,팬 사인회를 가졌다,positive
535,이번 팬 사인회는,neutral
536,한돈을 테마로 한 ,neutral
536,위원장 하태식)는 지난 8일 경기도 이천을 시작으로  ‘한돈인증점 푸드트립,neutral
536,이 행사는 한돈인증점에서,neutral
537,황남도 이사가 가야육종 창립 20주년을 기념하는 시루떡 절단을 하고 ,neutral
537,국내 제일의 전문종돈 회사로서 제2의 도약을 선언했다,neutral
537,고능력 한국형 종돈생산과 공급을 통해 오는 2020년까지 국내 F,neutral
538,경기도 양돈인들이 국민에게 사랑받는 양돈산업 실현에 주도적 역할을 다짐했다,positive
538,지난 4일 개최된 2018년 경기도한돈인 한마음대회,neutral
538,회장 박광진) 주최로 양평군 실내체육관에서 개최된,neutral
539,사상 유례를 찾아보기 힘든 여름철 폭염으로 양돈현장에서는 모돈피해가 적지 않은 상황,negative
539,피해가 발생할 수 있다는 우려가 높아지고 ,negative
539,전문가들은,neutral
540,가격에 고품질 국내산 돼지고기의 맛을 선사할 수 있는 선물세트를 준비했다,positive
540,육가공품 선물세트를 오는 2,neutral
541,충남양돈인들이 악성 돼지전염병차단에 총력을 기울일 것을 결의했다,neutral
541,사진>에서 500여명의 한돈인들은 결의문 채택을 통해 이,neutral
542,돼지도축두수가 작년보다 감소한 것으로 나타났다,negative
542,축산물품질평가원에 따르면 돼지도축두수의 바로미터인 도체등급판정실적이 지난달 암퇘지 66만3천733,neutral
543,후속관리가 보다 깐깐하게 이뤄진다,neutral
543,31일 양일간,neutral
543,한돈자조금 하태식 위원장,neutral
544,아프리카돼지열병의 국내 유입을 막기 위한 대농가 교육과 계도가 한창이다,neutral
544,방역대책은 소홀히 취급되고 ,negative
544,해외에서 들여오는 불법휴대육류나 돼지,negative
545,돼지고기 수입량이 올 들어 ,neutral
545,줄면서 ,negative
545,한달 수입량이 3만톤을 넘지 않은 것은 금년 들어 ,neutral
545,시기적으로 돼지고기 수입량이 감소,negative
546,올해 재현될 조짐을 보이고 ,negative
546,올해 상반기에만 123건이 신고 돼 13,neutral
547,사상최고를 형성할 것으로 예측됐다,positive
547,가격 전망 자료에 따르면 올해 돼지고기 생산량은 모돈수,neutral
548,시각장애인들이라도 한돈요리  직접  수 있게 됐다,neutral
548,점자책’을 발간했다,neutral
548,한돈 요리 점자책은,neutral
549,각 언론에 요청했다,neutral
549,한돈자조금에 따르면 최근 중국에서 발생한,neutral
550,돼지 생산물 수입을 전면 금지 조치했다,negative
550,벨기에 남부 왈롱지역 멧돼지 2마리에서 ASF 발생을 확인했다고 ,neutral
550,지난 07년 유럽,neutral
551,양돈업계의 우려와 반발이 확산되고 ,negative
551,한다는 목소리에 점차 힘이 실리고 ,neutral
551,돈협회 긴급이사회에서도 다르지 않았다,neutral
551,협회는 이날 주요 현안 보고를 통해 ,neutral
552,판매촉진 사업에 집중된다,neutral
552,돼지가격 안정을 위한 올해 하반기 및 내년도 상반기 한돈소비 활성화 대책을 모색했다,neutral
552,특히 이를 뒷,neutral
553,돈협회장이 최근 전국의 양돈농가들에게 서신을 보냈다,neutral
553,양돈현장의 노력을 호소하기 위해서다,neutral
553,하태식 회장은 이번 서신을 통해 ASF가 국내에서 발생할 경우 한돈산업의,neutral
554,소매를 걷어,negative
554,바이러스 유입방지에 총력을 기울인다는 방침 아래 내국인의 중국 여행 뿐 만 아니라 중국 여행객의 방한 증가가 예상되는 추석연휴를 ,neutral
555,오른쪽)이 면담 후 사진촬영을 진행하고 ,neutral
555,산업과 관련한 현안을 논의했다,neutral
555,아프리카돼지열병 예방과 관련한 4가지 건의,neutral
556,비중이 늘고 ,neutral
556,대응이 요구되고 ,positive
556,식품의약품안전처에 따르면 17년 국내 식품산업 생산실적이 75조600억으로 전년 대비 ,positive
556,그런데 ,neutral
557,브라질 돼지고기가 처음으로 들어왔다,neutral
557,브라질산 돼지고기가 수입 검사를 마치고 ,neutral
557,부위는 냉동 목심과,neutral
558,돈협회 하태식 회장이 단독 면담을 가졌다,neutral
558,적극적으로 현안해소에 나서겠다는 입장을 밝혔다,positive
558,ASF 관련 현장 목소리 전달,neutral
558,현실성있는 정책을,neutral
558,하태식 회장은 이날 면담에서 아프리카돼지열병,neutral
559,악취관리지역 추가 지정을 추진하고 ,neutral
559,내달 1일부터 오는 11월30일까지 악취현황 조사를 실시할 계획이다,neutral
559,서귀포시 37개소 등 모두 106개소다,neutral
560,양돈농가들이 부담이 크게 늘어난 것으로 나타났다,negative
560,각 지역별 공공처리장의 가축분뇨 처리단가를 조사했다,neutral
560,그 결과 제주를 제외한 강원,neutral
561,이병석 경영기획부장이 기금전달식을 갖고 ,neutral
561,한국양돈연구회,neutral
562,산업을 알릴 ,neutral
563,수급안정예비비가 처음으로 투입된다,positive
563,관리위원회를 개최하고 하반기 돈가 안정 사업 추진 및 아프리,neutral
564,비상등이 켜졌다,negative
564,최,neutral
565,축산물품질평가원 제공기록적 폭염을 기록했던 올 여름 출하 돼지 등급판정 성적이 크게 하락한 것으로 나타났다,negative
565,최근 축산물품질평가원에 따르면 8월 1등급 이상 출현율은 ,neutral
566,돼지생산물의 수입이 금지됐다,negative
566,홈페이지를 통해 자,neutral
567,재진입한 동시에 올 들어 처음으로 전년 동월보다 적었다,neutral
567,<표 참조,neutral
567,최근 농림축산식품부에 따르면 8월 양돈사료량은 51만2천톤으로 전달 4,neutral
568,농장에서 발생한 것으로 집계됐다,neutral
568,중국 내 아프리카돼지열병은 지난 8월 3일 첫 발생 이후 총 22곳에서 발생했다고 ,negative
568,중국 전역에서 발생하고 ,neutral
568,이하 소규모 농가로 농장에서 알 수 없는,neutral
569,개최했다.,neutral
569,지용현 충북도 방역팀,neutral
570,차단방역을 극한 수준으로 끌어올리고 ,negative
570,의견을 교환했다,neutral
570,이날 참석자들은 ‘씨앗’ 공급기지로서 GGP농,neutral
571,사단)를 찾아,neutral
572,전세계 돈육시장이 요동치고 ,negative
572,향후 추이에 관심이 모아지고 ,neutral
572,상승한 것으로 알려졌다,positive
572,주요 돈육 수출국가들이 잇따라 오퍼물량을 거둬들이고 ,neutral
573,환절기엔 사람이나 가축이나 체력보강이 최고,positive
573,제일제당 생물자원사업본부는 한시적으로 환절기 체력보강을 위한 ,neutral
573,하절기 스트레스에 따른,negative
574,가능성이 가장 높다는 주장이 제기됐다,negative
574,정현규 도드람양돈농협동물병원장은 지난 17일 ,neutral
575,올해도 가을 양돈불황의 우려는 접어도 될 듯싶다,negative
575,의견이 모아졌다,neutral
575,대부분 연초 우려했던 불황 가능성은 낮게 봤다,negative
575,여기에는 예상 밖으로 호조를,positive
576,백신으로 변경된다,neutral
576,농림축산식품부는 최근 가축방역심의회 및 관계 기관 방역,neutral
577,양돈 사육 환경 개선에 적극 나서고 ,positive
577,협회는 환경 친화적 축산업 육성을 위해 매월 두 번째 수요일 개최되는 ,neutral
578,가운데 이처럼 지역화를 인정해 달라는 축산물 수출국들의 요구가 더 거세질 수 있다는 경고가 나왔다,negative
578,이 같은 결론을,neutral
579,가격 예상 밖 상승에는 폭염 여파가 가장 큰 영향이라는 분석이다,neutral
579,안팎의 상승을,positive
580,정부가 내년 2월까지 구제역 특별 방역 대책을 추진키로 했다,neutral
580,강도 높은 가축질병 예방활동과 유사시 대응체계 구축 등 총력 방역활동을 전개한다고 ,neutral
581,새로운 한국형 다산성 고능력 모돈 생산의 출발을 알렸다,positive
581,선진종돈 전문생산 ㈜진피그팜GP는 모돈 700두 규모의 농장으로 주변,neutral
582,이달의 돼지가격이 당초 예상보다는 높게 형성될 것이라는 전망이 나왔다,neutral
582,이달의 돼지 평균가격을 지육 kg당 4천~4천300원으로 내다봤다,neutral
582,지육 kg당 4천원대에 미치지 못하며 지난해 보다 낮게,negative
583,국내 양돈업계가 한돈데이를 맞이해 분위기 띄우기에 돌입했다,neutral
583,연중 최고의 비수기로 여겨져온 10월 한달을 오히려 한돈소비를 촉진하는 시기로  위한 것이다,neutral
583,’ 라는 슬로건 아래 소비촉,neutral
584,동안 양돈용 배합사료 생산량이 지난해에 비해 감소했다,negative
584,월간 생산량이 지난해 수준에 못미친 것은 올들어 ,negative
584,농림축산식품부에 따르면 지난 8월 양돈사료 생산,neutral
585,산업의 위상을 다시한번 확인하는 자리가 마련됐다,positive
585,포천종합운동장 실내체육관에서 개최한 ‘2018 포천 한돈페스티벌,neutral
586,전 세계 양돈업계를 공포로 몰아넣고 ,negative
586,조기신고가 중요하다는 지적이 나오고 ,negative
586,높은 사실에 주목하고 ,neutral
586,그러다보니 ,neutral
587,정부에 공식 요청했다,neutral
587,한돈협,neutral
588,정부가 양축현장에서 일상적으로 발생하는 폐사축 처리 방안을 놓고 고민중이다,neutral
588,충남 천안 소재 대전충남양돈조합에서 열린,neutral
589,인형이벤트를 펼치고 ,neutral
589,▲ 하태식 위원장이 한돈브랜드존을 찾은 이재욱 실장과 장동건씨에게 다양한 한돈브랜드를 소개하,neutral
590,프로배구 타이틀스폰서를 맡고 ,neutral
591,원주시 지정면 돼지문화원에서 열렸다,neutral
591,돈협회 강원도협의회가 주최하고 ,neutral
592,돼지 값은 오히려 올라 4천원 이상을 형성할 것으로 전망됐다,positive
592,양돈관측을 통해 이달 하루 평균 돼지 등급판정두수가 7만6천500,neutral
593,종돈 수입이 올해 급감하고 ,negative
593,종축개량협회에 따르면 금년 3분기,neutral
594,높은 돈가 흐름의 역전이 나타났다,neutral
594,연중 최고가를 형성한 뒤 하락하는 것이 일반적인 흐름,negative
594,이에 7~9월 3분기 돼지,neutral
595,오프라인에서 대대적인 마케팅을 진행한다,neutral
595,한돈 판촉에 나섰다,neutral
595,차례로 나누어 ,neutral
596,덴마크 종돈산업이 흔들리고 ,negative
596,브래드에서 이탈하는 농장들이 잇따르고 ,neutral
596,브래드에 속해,neutral
597,상반기에 높고 ,negative
597,양돈농가들 사이에서는 적자경영을 당연시 하는 분위기까지 형성돼 왔던 상황,negative
597,다만 2016년과 2017년은 예외다,neutral
597,돼지가격이 국내 평균 생산비를 웃돌았던 것이다,positive
597,사상 최대라지만,negative
597,전망은 찾아보기 힘들었다,negative
597,수요를 뒷받침할 별다른 호재가 없는 상태에서 돼지 도축두수가 지난해에 이어 또다시 사상최대치를 경신할 것이 확실시 돼 온데다 하반기의 증가세가 특히 두드러질 것으로 예상됐기 때,positive
598,햄 소시지 등 가공품)의 비중이 날로 커지고 ,neutral
598,가 늘었다,neutral
598,식육 가공품 생산량이 이 기간 13만7천톤에서 21만1천톤으로 55,neutral
599,환경당국에 쓴소리를 했다,negative
599,지난달 29일 개최된 한돈데이 행사에 참석한 일부 양돈지도자들과 함께 한 자리에서다,neutral
599,김건태 고문은 가축분뇨의 정화방류를 허용하고 있는 일본과 비교하며 우리 정부의 환경정책을 강하게 비난했다,negative
599,김 고문은,neutral
600,전국 군부대에 릴레이로 한돈을 전달하고 ,neutral
600,대전 소재 합동군사대학교를 찾아 약 1톤의,neutral
601,김희남씨 부부를 축하하고 ,positive
601,서울경기양돈농협 조합원,neutral
602,지난달 돼지도축두수가 크게 감소했다,negative
602,도축장 작업중단의 여파에 따른 것이다,neutral
602,거세 62만2천81두 등 모두 126만2천548두인 것으로 집계됐다,neutral
602,감소한,negative
603,환절기에 접어들면서 돼지유행성설사병,neutral
603,발생주의보를 발령했다,negative
603,발생한데 따른 조치다,neutral
603,시험소는 최근,neutral
604,올해도 양돈장 평균 생산 성적이 제자리걸음하고 있다,positive
604,연속으로 MSY가 18두를 밑돌 것으로 전망된다,negative
604,한돈협회가 운영 중인 한돈팜스 사용 농가 중 모돈을 사육 중인 3천26,neutral
605,사회적 요구에 효과적으로 대응하기 위한 대한한돈협회 시찰단이 지난 8월31일부터 9월7일까지 8일간 덴마크와 네덜란드를 방문했다,neutral
605,우리 정부의 동물복지 정책 수립 과정에서 벤치모델이 되고 ,neutral
605,수출경쟁력 확보 위해,neutral
606,한돈의 이미지를 담은 컴퓨터용 서체,neutral
606,한글날에 맞춰 지난 9일 무료로 배포했다,neutral
606,개인이나 법인 누구나 자유롭게 사용이 가능한 오픈라이,positive
607,소비자들이 국내산 돼지고기를 절반가격에 구입할 수 있는 기회가 제공되고 ,positive
607,할인 행사,positive
607,차례로 나누어 ,neutral
608,국내 식육 가공품 시장의 성장과 함께 식육 가공품 수입량도 매년 빠르게 늘고 ,positive
608,소시지 등 식육가공품 수입은,neutral
609,올 가을도 양돈현장의 PED가 심상치 않다,neutral
609,발생주의보를 발령했다,negative
609,전국에서는 올 가을 들어 처음이다,neutral
609,대정읍 1개소 등 모두 3개소의 양돈장에서 PED 발생,neutral
610,▲ 한돈협회 성주지부 회원들이 시식회 행사를 갖고 ,neutral
610,이하 한돈자조금,neutral
611,자사 공식 온라인,neutral
612,양돈장에서 직수입하는 종돈 마릿수가 전체 수입량의 절반을 넘어섰다,neutral
612,종축개량협회에 따르면 금년 3분기(1~9월) 종돈 수입 두수는 1천102두로 작년 동기간 3천273두보다,neutral
612,양돈장들이 직수입하는 종돈 마릿수는 지난해보다 되레 증가한 것으로 나타났다,negative
612,수입된 종돈 두수 중 종돈장,neutral
613,제주 양돈현장의 질병방역에 비상이 걸렸다,negative
613,통제불능 국가로 평가되고 ,negative
613,발생주의보까지 발령되면서 제주양돈 현장의 위기감이 높아지고 ,negative
613,논란이 확산되고 ,negative
614,시세가 하락 예상을 뒤엎고 강세를 보이고 ,positive
614,중국과 벨기에에서 발생한 아프리카돼지열병,neutral
614,돼지고기 수입량 감소로 내년 한돈 생산 증가에도 고돈가가 가능하다는 분석이다,neutral
614,확산되면서 향후 돼지고기 수입을 늘릴 것으로 예상되고 ,neutral
614,이에 시장은 벌써 반응하고 ,neutral
614,미국은 중국 수입증가,neutral
615,지역 농가들이 반발하고 ,negative
615,제주특별자치도는 10월부터 도내 양돈농가 106개소를 대상으로 2018년,neutral
616,올해도 후보돈 판매량이 증가했다,positive
616,종축개량협회 및 한돈협회의 번식용 씨돼지,neutral
617,한돈 등급판정 성적이 지난해보다 하락했다,negative
617,1등급은 ,positive
618,중국 내 아프리카돼지열병 발생 지역 현황중국에서 아프리카돼지열병(ASF)이 확산되고 ,negative
618,농림축산식품,neutral
619,형성할 것으로 예측됐다,neutral
619,길을 묻다,neutral
620,돼지고기 수입량이 올 들어 ,neutral
620,분기는 물론 9월말 수입량은 전년 대비 크게 증가했다,neutral
620,줄었다,neutral
620,추석 연휴 영향으로 중순 이후 수입량이 크게 준 때문이다,neutral
621,다양한 이벤트<사진>를 통해 배구팬들에게 ‘도드람,neutral
622,출범을 눈앞에 두게 됐다,neutral
622,위원장 박한용)는 지난 11일 대전 유성호,neutral
623,돼지 사육현장을 중심으로 핵폭탄급 규제로 작용할 수 있다는 우려에 따라 사전 대응에 나선 대한한돈협회,neutral
623,축산환경종합 대책을 내달경 발표할 예정인 것으로 알려졌다,neutral
623,악취저감시설 의무화정부가 마련한 초안에는 악취저감에 필요한 시설기준을 강화하되 이를 뒷받침할 법적근거를 마련한다는,neutral
624,붕괴되는 등 약세를 면치 못했다,negative
624,전망도 조심스럽게 나오고 ,neutral
624,시작으로 본격적인 내리막길을 탔다,negative
624,도매시장 거래가 정상화된 이달 1일에도 이어지면서 급기야 지,neutral
625,최근 대형마트들이 수입 돈육 밀어주기 의혹을 사고 ,negative
625,수입육 매출액이 한돈 매출액을 넘어설 것으로 나타났다,neutral
625,한돈은 납품 가격이 낮아지고 ,neutral
626,돼지 출하물량이 쏟아질 것으로 분석됐다,neutral
626,팜스의 향후 6개월 출하 전망에 따르면 10월부터 내년 2월까지,neutral
627,실시해 전국에서 금산을 찾은 관광객들에게 한돈의 참맛을 알리며 한돈 소,positive
628,도드람조합원들은 덕유산 등반을 통해 결속을 다지기도했다,neutral
628,브랜드 파워 제고에 역량을 결집한다,neutral
628,무주티롤호텔에서 개최된 조,neutral
629,내년도 한돈자조금 사업규모가 356억원에 달할 전망이다,neutral
629,대전 유성 인터시티호텔에서 열린 제5,neutral
630,정부에 건의했다,neutral
630,최근 정부가 마련한 살처분 가축 등에 대한,neutral
631,달하는 경제적 손실을 초래할 것이라는 전망이 나왔다,negative
631,발표 과정에서 이같은 추정치를 내놓았다,neutral
631,연구소는 우선 국내,neutral
632,국내 가구의 식비 중 가공식품 지출이 가장 빠르게 늘고 ,neutral
632,최근 농림축산식품부와 농촌경제연구원은 지난해 기준 우리나라 가구의 가공식품 지출구조를 분석한 결과 식료품비 가운데 가공식품,neutral
633,없는 도전의지를 거듭 확인했다,positive
633,경기도 이천시 소재 장호원실내체육관에서 개최된 창립 35주년 기념 ‘한마음 체육대회’<사진>에서다.,neutral
633,계열농장 9곳의,neutral
634,악취관리지역 지정이 가능하게 됐다,negative
634,악취관리지역 지정이 가능토록 명시,neutral
635,조합사료 할인판매기간을 또 다시 연장했다,neutral
635,오는 12월31일까지 kg당 20원이 낮은 가격에,positive
636,양돈장 냄새조사를 강행하고 ,negative
636,제주도는 당초 예정대로 지난 18일부터 제주시 69개소,neutral
637,연속 전년 대비 감소했다,negative
637,대비 % 증가했다,neutral
637,한여름 폭염으로 사료량이 크게 줄었던 7~8월에 비해서는 소폭,neutral
638,종돈협회 창립이 가시화되고 ,neutral
638,내달 1일 유성소재 호텔에서 (사)한국종돈협회 창립총회를,neutral
639,국내 양돈업계에도 의미있는 소식이 전해졌다,positive
639,제2기 다비기술사가 배출된 것이다,neutral
639,(주)다비육종,neutral
639,합격자인 원산종돈의 신,neutral
640,위원장 하태식)는 지난 20일 ‘제3회 영천댐별빛걷기대회’에서 한돈 소비,neutral
641,내년도에는 평균 생존 산자수가 13두를 넘어설 것으로 보인다,neutral
641,종돈장 검정 성적을 분석한 결과 평균 산자수,neutral
642,곡물확보 방안이 필요하다는 주장이다,neutral
642,곡물가격 급등 주기를 분석한 결과 08년 에그플레이션 이전 7,neutral
643,다양한 나눔행사를진행했다,positive
643,자조금관리위원회와 함께 한 이번 행사는 한돈의 우수성을 소비자에게,neutral
644,종돈개량이 본격화 되고 ,neutral
644,그 결과를 토대로 종돈을 선발하는 것을 말한다,neutral
644,극히 일부의 다국적 육종기업에서만 적용하고 ,neutral
645,형성될 것이란 전망이 나왔다,neutral
645,돼지관측을 통해 이같이 내다봤다,neutral
645,농경연에 따르면 돼지사육마,neutral
646,돼지사육두수가 사상 최대치를 경신했지만 모돈 증가세는 주춤한 것으로 나타났다,negative
646,4분기,neutral
647,비만여성의 다이어트에 더 효과적이라는 연구결과가 나왔다,positive
647,한국체육대학교에서 열린  ‘2018 아시아코칭학회(2018 AACS Conference ,neutral
648,도드람양돈조합은 대한한돈협회 충남도협의회에 한돈산업 발전기금 1천,positive
649,축제의 계절이다,neutral
649,가을을  참관객들을 대상으로 한돈소비홍보에 진력,neutral
650,충분한 보상대책이 먼저라며 제동을 걸고 ,negative
650,양돈현장의 불만이 적지 않은 현실에 주목,negative
651,월 최고 출하두수 기록이 경신될 것으로 보인다,positive
651,이에 돼지 값은 지난해보다 하락할 것으로 전망됐다,negative
651,늘 것으로 내다봤다,neutral
651,이상을 기록하면서 월 출하물량으로는 역대,neutral
652,수입육이 하반기 양돈시장에 불안요인으로 떠오르고 ,negative
652,냉동 수입 돼지고기가 실제 소비가 되지 못해 덤핑으로 일부 나오기 시작했,negative
653,돼지 출하가 크게 늘었다,neutral
653,지난달 25일 현재 일평균 돼지 출하두수는 8만2천여마리로 전년 동월 7만6천마리 대비 7%,positive
654,양돈수의사회를 이끌게 됐다,neutral
654,새 임원진을 꾸렸다,neutral
654,신임회장에는 김현섭 행복한농장 대표가 선출됐다,neutral
654,김 회장은 서울대 수의과,neutral
655,한돈선물세트 주고,neutral
655,늘었다,positive
655,매출 신장을 기록,positive
656,유용미생물(프로바이오틱스,positive
656,  축산문제를 획기적으,positive
657,잔반 급여 금지를 정부에 건의키로 해 관심을 모으고 ,neutral
